,time,memused,swapused,memproc,mem_vm,limit_cgroup,response_time
0,0.0,2325344.0,548012.0,854650880.0,1872904.0,2147483648.0,508.478
1,0.5,2325784.0,548012.0,854548480.0,1872904.0,2147483648.0,508.478
2,1.0,2325532.0,548012.0,854548480.0,1872904.0,2147483648.0,508.478
3,1.5,2325520.0,548012.0,854532096.0,1872904.0,2147483648.0,508.478
4,2.0,2325520.0,548012.0,854659072.0,1872904.0,2147483648.0,508.478
5,2.5,2325300.0,548012.0,854654976.0,1872904.0,2147483648.0,508.478
6,3.0,2325552.0,548012.0,854634496.0,1872904.0,2147483648.0,508.478
7,3.5,2324544.0,548012.0,854630400.0,1872904.0,2147483648.0,508.478
8,4.0,2324544.0,548012.0,854630400.0,1872904.0,2147483648.0,508.478
9,4.5,2324544.0,548012.0,854630400.0,1872904.0,2147483648.0,508.478
10,5.0,2324544.0,548012.0,854728704.0,1872872.0,2147483648.0,508.478
11,5.5,2324544.0,548012.0,854695936.0,1872872.0,2147483648.0,508.478
12,6.0,2324544.0,548012.0,854679552.0,1872872.0,2147483648.0,508.478
13,6.5,2324624.0,548012.0,854679552.0,1872872.0,2147483648.0,508.478
14,7.0,2324372.0,548012.0,854650880.0,1872936.0,2147483648.0,508.478
15,7.5,2324120.0,548012.0,854634496.0,1872936.0,2147483648.0,508.478
16,8.0,2324120.0,548012.0,854622208.0,1872936.0,2147483648.0,508.478
17,8.5,2324120.0,548012.0,854614016.0,1872936.0,2147483648.0,508.478
18,9.0,2324120.0,548012.0,854609920.0,1872936.0,2147483648.0,508.478
19,9.5,2323844.0,548012.0,854552576.0,1872936.0,2147483648.0,508.478
20,10.0,2323844.0,548012.0,854441984.0,1872936.0,2147483648.0,508.478
21,10.5,2323844.0,548012.0,854269952.0,1872936.0,2147483648.0,508.478
22,11.0,2323844.0,548012.0,854241280.0,1872936.0,2147483648.0,508.478
23,11.5,2323580.0,548012.0,854179840.0,1872936.0,2147483648.0,508.478
24,12.0,2323832.0,548012.0,854061056.0,1872936.0,2147483648.0,508.478
25,12.5,2323832.0,548012.0,853983232.0,1872936.0,2147483648.0,508.478
26,13.0,2323580.0,548012.0,853979136.0,1872904.0,2147483648.0,508.478
27,13.5,2323832.0,548012.0,853921792.0,1872904.0,2147483648.0,508.478
28,14.0,2323832.0,548012.0,854036480.0,1872904.0,2147483648.0,508.478
29,14.5,2323580.0,548012.0,853917696.0,1872904.0,2147483648.0,508.478
30,15.0,2323576.0,548012.0,853835776.0,1872904.0,2147483648.0,508.478
31,15.5,2323828.0,548012.0,853729280.0,1872904.0,2147483648.0,508.478
32,16.0,2323828.0,548012.0,853553152.0,1872904.0,2147483648.0,508.478
33,16.5,2323568.0,548012.0,853512192.0,1872904.0,2147483648.0,508.478
34,17.0,2323312.0,548012.0,853442560.0,1872904.0,2147483648.0,508.478
35,17.5,2323060.0,548012.0,853348352.0,1872904.0,2147483648.0,508.478
36,18.0,2322808.0,548012.0,853250048.0,1872904.0,2147483648.0,508.478
37,18.5,2322808.0,548012.0,853200896.0,1872904.0,2147483648.0,508.478
38,19.0,2322552.0,548012.0,852860928.0,1872904.0,2147483648.0,508.478
39,19.5,2322804.0,548012.0,852803584.0,1872904.0,2147483648.0,508.478
40,20.0,2322804.0,548012.0,852852736.0,1872904.0,2147483648.0,508.478
41,20.5,2323056.0,548012.0,852738048.0,1872904.0,2147483648.0,508.478
42,21.0,2322800.0,548012.0,852676608.0,1872904.0,2147483648.0,508.478
43,21.5,2322792.0,548012.0,852557824.0,1872904.0,2147483648.0,508.478
44,22.0,2322596.0,548012.0,852492288.0,1872904.0,2147483648.0,508.478
45,22.5,2322592.0,548012.0,852492288.0,1872904.0,2147483648.0,508.478
46,23.0,2322592.0,548012.0,852402176.0,1880008.0,2147483648.0,508.478
47,23.5,2322612.0,548012.0,852307968.0,1880008.0,2147483648.0,508.478
48,24.0,2322864.0,548012.0,852013056.0,1880264.0,2147483648.0,508.478
49,24.5,2322604.0,548012.0,851881984.0,1880264.0,2147483648.0,508.478
50,25.0,2322344.0,548012.0,851607552.0,1881400.0,2147483648.0,508.478
51,25.5,2322092.0,548012.0,851476480.0,1881400.0,2147483648.0,508.478
52,26.0,2322092.0,548012.0,851386368.0,1881404.0,2147483648.0,508.478
53,26.5,2321832.0,548012.0,851329024.0,1881404.0,2147483648.0,508.478
54,27.0,2321832.0,548012.0,851177472.0,1881856.0,2147483648.0,508.478
55,27.5,2322084.0,548012.0,851120128.0,1881856.0,2147483648.0,508.478
56,28.0,2322084.0,548012.0,851005440.0,1881668.0,2147483648.0,508.478
57,28.5,2321832.0,548012.0,850882560.0,1881668.0,2147483648.0,508.478
58,29.0,2321832.0,548012.0,850812928.0,1881240.0,2147483648.0,508.478
59,29.5,2328104.0,548012.0,852561920.0,1881240.0,2147483648.0,508.478
60,30.0,2334288.0,547756.0,856977408.0,1881712.0,2147483648.0,508.478
61,30.5,2336640.0,547756.0,856977408.0,1881712.0,2147483648.0,508.478
62,31.0,2333664.0,547756.0,856924160.0,1881776.0,2147483648.0,508.478
63,31.5,2337364.0,547756.0,857305088.0,1881776.0,2147483648.0,508.478
64,32.0,2341408.0,547756.0,857280512.0,1881900.0,2147483648.0,508.478
65,32.5,2349600.0,547756.0,857206784.0,1881900.0,2147483648.0,508.478
66,33.0,2347692.0,547756.0,857251840.0,1882288.0,2147483648.0,508.478
67,33.5,2349152.0,547756.0,857202688.0,1882288.0,2147483648.0,508.478
68,34.0,2346428.0,547756.0,857112576.0,1882304.0,2147483648.0,508.478
