Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707835326.0268052,999997440,1646356,959029248,1332641792,142.576,54456944,2223816
1707835353.7521737,999997440,1653212,965525504,1331855360,137.977,55602618,2241834
1707835379.2463396,999997440,1663036,984182784,1331593216,126.816,51585500,2214842
1707835409.4586685,999997440,1671736,998543360,1331331072,150.405,61689537,2538236
1707835437.5412228,999997440,1681984,999702528,1331068928,139.879,54732876,2171563
1707835462.806308,999997440,1692224,997863424,1330282496,125.739,52808132,2138371
1707835489.8345568,999997440,1701244,994672640,1330020352,134.598,55353612,2214797
1707835515.5980675,799997952,1712924,701747200,1452019712,128.127,53475678,2272106
1707835542.8898542,799997952,1720856,710373376,1451757568,135.821,53572705,2264476
1707835567.9581373,799997952,1731392,736206848,1450467328,124.709,51698907,2154054
1707835595.6989639,799997952,1741348,754626560,1449680896,138.079,52826442,2171737
1707835621.925095,799997952,1752712,777035776,1449680896,130.387,49049111,2248979
1707835648.0348752,799997952,1763288,799313920,1447845888,129.911,51990708,2203915
1707835676.0603209,799997952,1772580,799793152,1446010880,139.544,54615160,2268005
1707835701.046788,599998464,1782140,532312064,1704230912,124.329,49049300,2117989
1707835727.4277008,599998464,1793156,542347264,1694007296,131.182,46143527,1940067
1707835753.223205,599998464,1800588,568471552,1681948672,128.346,49502750,2110269
1707835779.4596875,599998464,1812940,593350656,1670676480,130.539,53369578,2266166
1707835805.5343697,599998464,1822032,599511040,1660715008,129.736,54103564,2174032
1707835831.0417616,599998464,1832140,598724608,1647607808,126.878,54769919,2236568
1707835894.5003443,599998464,1842416,599924736,1637392384,316.676,75013094,2887774
1707835921.6130712,399998976,1859148,378933248,1930772480,134.83,55861450,2320614
1707835947.6151135,399998976,1862332,399958016,1919762432,129.401,52679431,2175919
1707835972.370906,399998976,1870880,399462400,1912340480,123.218,51018013,2120767
1707835997.7117622,399998976,1878228,399958016,1907474432,125.919,44305823,1870618
1707836022.9170954,399998976,1890272,399945728,1899446272,125.327,43711029,1908514
1707836052.554411,399998976,1899080,399966208,1893638144,147.579,45126977,1985301
1707836078.5396204,299999232,1909292,253964288,1963884544,129.267,43719568,1933917
1707836103.8321514,299999232,1919984,276422656,1952612352,125.568,42133241,1892275
1707836130.163508,299999232,1927688,299175936,1942650880,130.944,45331965,1947045
1707836175.4720738,299999232,1938784,299929600,1929281536,225.782,82323234,3131589
1707836211.2861848,299999232,1912860,299884544,1912315904,178.351,70939566,2672340
1707836259.5648806,299999232,1910888,299876352,1911648256,240.598,71590871,2773069
1707836289.1141632,199999488,1919396,199892992,2034151424,147.066,53444805,2090282
1707836319.383734,199999488,1896208,199917568,2025447424,150.69,51952534,2142871
1707836347.726326,199999488,1919568,199602176,2027216896,141.012,50096826,2070482
1707836376.7524276,199999488,1914656,199864320,2024849408,144.291,52822960,2046921
1707836404.6240501,199999488,1919460,199888896,2015166464,138.641,47962095,2009380
1707836433.5380442,199999488,1918764,199929856,2011602944,143.83,52305779,2094548
1707836460.251854,299999232,1918972,221515776,2001625088,132.763,46971888,1897540
1707836488.0651114,299999232,1898128,243064832,1992187904,138.305,48530132,2078795
1707836518.8795507,299999232,1920316,266375168,1980391424,153.224,56785945,2221430
1707836550.5824468,299999232,1917292,286605312,1967554560,157.751,59551384,2381533
1707836579.2812698,299999232,1916656,299962368,1951039488,142.718,54098256,2274419
1707836612.8993752,299999232,1910896,299905024,1946845184,167.309,63817183,2475496
1707836642.1196609,399998976,1917720,309129216,1926397952,145.296,53617788,2125641
1707836674.3802075,399998976,1905572,324886528,1921941504,160.651,70638277,2673828
1707836711.9736216,399998976,1899144,351285248,1909096448,187.351,78290754,2934354
1707836738.0432777,399998976,1908336,389038080,1889435648,129.751,54513057,2277997
1707836765.0584056,399998976,1918004,399769600,1885241344,134.452,56879717,2359179
1707836795.4704485,399998976,1922728,399773696,1879212032,151.348,56128720,2183810
1707836824.8078082,599998464,1919572,418066432,1868726272,145.973,54153883,2157419
1707836854.1097996,599998464,1891636,438145024,1860861952,145.691,60764405,2379701
1707836880.7417476,599998464,1916660,462323712,1848016896,132.398,54755054,2280915
1707836908.409098,599998464,1911680,481677312,1840676864,137.694,51649252,2104132
1707836937.5673006,599998464,1919488,504791040,1830191104,145.104,51583529,2132008
1707836962.9224904,599998464,1908116,541659136,1810268160,126.13,48411710,2284013
1707836991.5649064,799997952,1918644,545759232,1808171008,142.541,59999346,2431250
1707837021.213449,799997952,1897924,565899264,1799782400,147.454,58278011,2444548
1707837052.1744263,799997952,1919732,587956224,1789034496,153.998,61357489,2430124
1707837080.1305594,799997952,1919388,614785024,1773305856,138.988,48757155,2086920
1707837111.9860022,799997952,1918640,633393152,1767276544,158.534,67131468,2667135
1707837140.723066,799997952,1920664,658468864,1752858624,142.948,54559455,2127859
1707837166.8402517,599998464,1917876,556933120,1741324288,129.862,46884277,1941235
1707837193.9447176,599998464,1899172,575561728,1734508544,134.955,47928096,2022171
1707837240.1948788,599998464,1899104,598048768,1724022784,230.496,72486220,2713753
1707837281.6048615,399998976,1897828,393154560,1841483776,206.403,82447603,3115947
1707837313.066902,299999232,1919736,247496704,1970499584,156.494,59123861,2263279
1707837356.3508303,299999232,1910644,266817536,1960800256,215.683,65969058,2514773
1707837393.222215,199999488,1898188,179097600,2046750720,183.563,68080336,2558484
1707837428.269733,199999488,1919716,199467008,2036002816,174.489,65546210,2476838
1707837463.289403,299999232,1923240,221409280,2023157760,174.311,64554079,2487419
1707837494.891291,399998976,1921196,244109312,2011361280,157.336,60421175,2271636
1707837526.9920208,399998976,1918944,266104832,2001141760,159.899,71758884,2679540
1707837560.1314394,599998464,1899116,286392320,1992753152,164.994,74627345,2830288
1707837592.0896037,599998464,1919272,312905728,1980432384,159.129,69914662,2670656
1707837623.09409,799997952,1919756,335273984,1968635904,154.348,67058630,2678913
1707837652.7686753,799997952,1921032,354942976,1960771584,147.742,64294932,2618194
1707837681.2282007,999997440,1900284,377839616,1949761536,141.643,50572438,2078745
1707837707.2058234,999997440,1904576,400969728,1938227200,129.078,45785410,1901501
