Time,Memory (VM view),Memory (Host view),CT,BW (Download),BW (Upload)
1707747426.2791142,1205560,946245632,159.656,160315221,6779020
1707747496.653277,1228316,1006256128,150.849,48066395,2101896
1707747567.5890346,1244056,1015701504,153.896,53033700,2267260
1707747636.9247007,1251652,1039597568,145.677,53230311,2338517
1707747703.6456907,1259412,1043922944,132.544,52827944,2297183
1707747776.2756572,1271200,997609472,162.21,58018690,2407763
1707747845.2609625,1282144,999772160,143.928,56416406,2277011
1707747913.275639,1292472,807247872,139.17,51462079,2097613
1707747981.032117,1303560,825212928,137.791,52249240,2355143
1707748051.4182892,1315212,840847360,150.933,59304531,2552447
1707748119.8974295,1324356,749768704,141.393,58107637,2419641
1707748188.1494765,1334336,769773568,140.201,55655531,2430745
1707748254.9865818,1343752,790724608,133.335,54429000,2363973
1707748323.1090574,1353644,636006400,139.638,57922669,2450157
1707748391.7041109,1362704,657117184,142.035,55489761,2419173
1707748462.0588174,1372528,552751104,150.887,56815588,2372792
1707748535.3295453,1382540,573558784,165.445,69270031,2709372
1707748607.9073927,1402572,599846912,161.941,66288398,2701221
1707748679.5316343,1400264,454230016,157.173,61755664,2614785
1707748747.4173334,1411924,472412160,138.424,49231493,2103675
1707748816.7600713,1421536,486817792,145.611,52900875,2336120
1707748885.063674,1430696,349986816,140.485,50185009,2078006
1707748958.6773727,1441732,371286016,166.877,61572633,2596676
1707749026.2946177,1459188,290881536,137.133,50771642,2238571
1707749099.1291206,1460796,295239680,163.004,61300448,2605418
1707749230.7312944,1470696,299909120,456.947,100031426,4381277
1707749315.1222131,1480588,199950336,220.848,63514012,2633555
1707749387.4237654,1490568,203436032,160.494,66523040,2748976
1707749457.641357,1500516,227762176,150.049,61983896,2635897
1707749524.8090074,1510188,239128576,134.718,52334261,2345310
1707749592.0059593,1520156,261943296,134.902,49218285,2035340
1707749660.8639672,1529664,283873280,143.137,53680787,2324464
1707749732.492051,1539240,307892224,157.117,62599740,2616579
1707749803.2925165,1549536,337006592,152.987,63712321,2632703
1707749871.1914508,1559452,357322752,138.803,53685405,2267884
1707749937.9227033,1569348,371318784,132.796,53258898,2210498
1707750003.658287,1579332,391995392,127.689,52160841,2263360
1707750071.6443865,1589056,412135424,139.062,56782339,2389324
1707750140.3314347,1598788,433192960,142.541,61148616,2491570
1707750209.6549037,1608500,453742592,145.758,57351255,2483318
1707750277.888201,1618516,478433280,140.295,58079879,2427432
1707750346.5494192,1628572,498556928,142.416,56705701,2536982
1707750416.7015524,1638384,522702848,149.865,62492155,2668243
1707750486.0360718,1648164,544096256,145.77,58086989,2392716
1707750554.9897692,1657516,566173696,143.738,58635695,2518165
1707750625.4197943,1667784,586399744,151.406,53867466,2227964
1707750695.1259944,1677424,609157120,147.624,56889786,2372745
1707750765.2814891,1687556,624422912,149.909,63734643,2609863
1707750834.3018076,1697240,647753728,144.307,56876129,2354984
1707750904.7719548,1706812,666128384,151.57,64290192,2707846
1707750973.51455,1716716,686059520,142.71,58691354,2516763
1707751043.2299955,1727532,706662400,147.686,63719604,2603953
1707751112.9357026,1735520,728584192,147.503,61081882,2675090
1707751182.46885,1746364,749764608,146.785,57765180,2412440
1707751252.0988345,1756232,769798144,147.227,62827730,2626524
1707751322.572504,1766620,789872640,151.383,64105962,2636502
1707751393.5022,1776488,810254336,153.644,64488917,2722279
1707751464.0371492,1783816,841117696,151.677,64329004,2682375
1707751535.4970253,1796248,850993152,156.413,63109964,2782451
1707751604.6517751,1806060,884314112,144.901,56769254,2568357
1707751674.9298842,1815828,893972480,150.508,60793385,2769282
1707751745.6389627,1825736,918962176,152.685,60062516,2698656
1707751813.5279493,1835796,934481920,138.583,56854666,2457502
1707751881.8079455,1845396,955502592,140.543,58572962,2460697
1707751952.5933676,1855548,975200256,152.933,64946432,2604446
1707752023.1278727,1865264,995532800,151.666,61637631,2735614
1707752091.830636,1875088,1016438784,142.64,59058172,2526689
1707752172.2525563,1885272,1036435456,201.049,80999490,3119690
1707752243.9765418,1872936,1114816512,157.727,65628567,2834922
1707752320.740852,1875156,1130811392,182.826,69017424,2729583
1707752397.4613476,1875152,1153024000,182.585,72461177,2813254
1707752487.5006464,1876800,1178263552,249.252,80494120,3111731
1707752561.875521,1872608,1209049088,170.968,58962445,2446929
1707752639.3346412,1873932,1226100736,186.353,69762051,2710490
1707752717.966155,1876856,1251782656,192.116,76427774,2911739
1707752794.4402509,1876720,1275129856,181.334,69571683,2666202
1707752871.651386,1865968,1300299776,185.074,73467380,2720361
1707752954.6003628,1869456,1320730624,213.77,82305417,3032104
1707753033.9395385,1875172,1345388544,195.813,74925112,2770961
1707753112.3174548,1868916,1369821184,190.875,73147974,2842077
1707753191.4764144,1876264,1393659904,195.017,74515994,2860248
1707753263.115701,1874116,1424736256,157.369,60941080,2404177
1707753336.5595264,1872952,1441124352,166.209,58752731,2355573
1707753411.0014803,1873540,1467092992,171.161,62204115,2407949
1707753485.191803,1862468,1493131264,169.943,63089530,2430108
1707753555.640088,1864392,1518628864,151.263,60200154,2596811
1707753631.2821212,1875756,1526730752,177.219,68575609,2610726
1707753702.8947017,1875132,1565401088,157.349,59261450,2395725
1707753777.1846359,1869608,1583075328,170.503,62445174,2521277
1707753852.0938141,1874796,1604325376,173.567,65137729,2610171
1707753924.4868221,1853864,1627095040,160.987,61374753,2514765
1707753994.5648932,1874676,1654382592,149.568,55971582,2235312
