Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707830897.3665226,999997440,678448,462901248,869371904,155.213,53538940,2167109
1707830925.3466046,999997440,683560,482328576,868847616,139.262,53498444,2140151
1707830952.4404829,999997440,693108,494821376,867536896,134.7,50630921,2217922
1707830980.794066,799997952,706012,521678848,867012608,141.084,50965913,2041681
1707831007.2635338,799997952,715788,540045312,866226176,131.719,48214721,2070926
1707831035.9601023,799997952,724424,558772224,864129024,142.859,57465018,2242556
1707831062.436397,599998464,735744,595492864,859148288,131.755,51915880,2184206
1707831089.2203765,599998464,745376,599900160,856801280,133.167,53019662,2227860
1707831118.8106673,599998464,754516,599650304,855781376,147.255,59166449,2322402
1707831145.2492204,399998976,765536,399855616,902479872,131.533,52991168,2098537
1707831172.0512981,399998976,775224,393461760,911474688,133.324,53871925,2250320
1707831205.1913338,399998976,785084,397025280,916447232,165.016,56056253,2347526
1707831230.9419897,299999232,800664,261939200,1075236864,128.035,52791880,2227200
1707831260.439033,299999232,804580,283369472,1074188288,146.763,51860395,2128000
1707831313.1357088,299999232,814608,296169472,1073139712,262.815,81814460,3188504
1707831339.9508777,199999488,831412,199843840,1143885824,133.326,56284993,2288976
1707831366.2353892,199999488,833728,198963200,1148149760,130.814,52384664,2184325
