Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707907590.2720613,999997440,1903744,230932480,2035191808,156.959,52854210,2303118
1707907623.8862565,999997440,1903420,232333312,2034667520,167.335,55000085,2416271
1707907655.8555791,999997440,1903556,232357888,2034405376,159.139,50437223,2264599
1707907686.4738882,999997440,1903360,232468480,2034405376,152.286,49400212,2178156
1707907716.3372688,999997440,1903072,232280064,2034405376,148.642,49237155,2137664
1707907750.278934,999997440,1903364,233320448,2034405376,169.08,68705693,2776599
1707907783.2747738,999997440,1903168,234237952,2034405376,164.338,67506265,2670131
1707907812.3976595,999997440,1903368,233762816,2033881088,144.943,54739366,2389631
1707907845.9458857,999997440,1903124,233951232,2033881088,167.131,68633957,2769981
1707907879.7616882,999997440,1903528,234160128,2033094656,168.415,57654495,2408724
1707907910.9780784,299999232,1903440,234844160,2033094656,155.429,61078932,2525636
1707907942.1768637,299999232,1903452,234094592,2033094656,155.29,57986721,2514482
1707907975.4618158,299999232,1902860,235413504,2033094656,165.637,55823068,2357893
1707908005.489771,299999232,1903376,235036672,2033094656,149.369,48120550,2101015
1707908039.0567257,299999232,1903192,234954752,2033094656,167.001,61386507,2581984
1707908073.3709567,299999232,1903288,233459712,2033094656,170.636,61420215,2586096
1707908102.2862892,299999232,1903336,233709568,2032832512,143.928,46056060,2032292
1707908135.7532218,299999232,1903520,234610688,2032832512,166.665,68928951,2725130
1707908169.8174982,299999232,1903320,235171840,2032832512,169.648,69415099,2843118
1707908204.0021288,299999232,1903172,235048960,2032832512,170.22,68710342,2843474
1707908237.971585,299999232,1903604,235175936,2032570368,169.293,70140116,2760488
1707908268.1088762,999997440,1903352,236044288,2032046080,150.058,55684544,2439325
1707908301.9515681,999997440,1903496,236392448,2032046080,168.459,66708474,2765781
1707908336.5044498,999997440,1903184,234639360,2032046080,171.724,68885720,2874095
1707908370.1782196,999997440,1903456,235044864,2032046080,167.688,67284835,2768187
1707908404.0290494,999997440,1903312,235401216,2032046080,168.564,57894542,2512612
1707908433.6851847,999997440,1903304,235134976,2031521792,147.538,57579242,2468995
1707908462.799558,999997440,1903144,235184128,2031521792,144.952,55966579,2462052
1707908491.7259026,999997440,1903204,235790336,2031521792,144.011,56656691,2373537
1707908525.1756184,999997440,1903284,235839488,2030997504,166.616,58226515,2455767
1707908559.7823312,999997440,1903516,235610112,2030997504,172.412,70677821,2813531
1707908594.1136796,999997440,1903172,236306432,2030997504,170.763,64246851,2708627
1707908626.923705,299999232,1903336,236605440,2030997504,163.348,57378594,2387379
1707908660.0876231,299999232,1903504,237084672,2030473216,165.207,65124713,2571221
1707908693.8854032,299999232,1903432,237096960,2030473216,168.283,67680625,2668849
1707908727.8528903,299999232,1903408,237363200,2030211072,169.116,62309219,2685942
1707908761.194283,299999232,1903068,238039040,2030211072,166.049,69119889,2665596
1707908794.3895242,299999232,1903488,237928448,2029948928,165.348,67787450,2659080
1707908825.3774226,299999232,1903460,237436928,2029948928,154.323,62143759,2535074
1707908857.1056612,299999232,1903520,237907968,2029948928,158.001,63079591,2574198
1707908885.4796069,299999232,1903640,238039040,2029686784,141.086,43095218,1921643
1707908919.5622935,299999232,1903092,238002176,2029686784,169.616,67238605,2774557
1707908949.2655096,299999232,1902856,236589056,2029686784,147.873,52104134,2282643
1707908978.3147109,999997440,1903296,237178880,2029686784,144.553,54711687,2379559
1707909007.9907477,999997440,1903212,237490176,2029686784,147.653,58810000,2482293
1707909038.5487316,999997440,1903404,237899776,2029686784,152.062,60568265,2565591
