Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707832333.932279,799997952,899132,303607808,1129574400,126.31,54868248,2230572
1707832361.8881333,799997952,906520,316162048,1128525824,139.122,53196195,2127683
1707832387.940304,799997952,918044,344915968,1127477248,129.648,54412724,2196869
1707832413.1203966,799997952,928808,363401216,1126436864,125.285,53532083,2143400
1707832440.1253026,599998464,939348,394182656,1124864000,134.399,51846729,2167918
1707832468.0023222,599998464,949892,415055872,1124601856,138.81,52119913,2146506
1707832494.387354,599998464,959668,433082368,1123553280,131.298,51656127,2201083
1707832521.4944386,399998976,967368,399794176,1123028992,134.965,56153951,2313776
1707832546.3092966,399998976,975012,397971456,1122504704,123.475,50269211,2057967
1707832573.9382324,399998976,984404,398929920,1121718272,137.475,55177354,2233046
1707832600.6498718,299999232,996540,299802624,1182674944,132.914,55505572,2317686
1707832631.6681864,299999232,1004132,299429888,1185447936,154.442,64828419,2594378
1707832662.0358367,199999488,1015156,173768704,1326862336,150.905,64758998,2652330
1707832692.8333287,199999488,1024392,194539520,1325559808,153.178,60753626,2469048
