Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708438358.0772846,2147483648,2058121216,1688743936,369377280,1300762624,0,22.8818,7.017763900756836,0.33554611206054685
1708438381.1835797,2147483648,2058121216,1688199168,369922048,1348972544,0,22.8628,7.178572273254394,0.33215770721435545
1708438401.5102015,2013265920,2058121216,1688276992,369844224,1386901504,0,25.152749999999997,7.147234916687012,0.3838791847229004
1708438425.5898159,2013265920,2058121216,1689096192,369025024,1410195456,0,23.830599999999997,7.222830009460449,0.36191883087158205
1708438449.0698626,2013265920,2058121216,1686867968,371253248,1456910336,0,23.2208,7.057275390625,0.3433977127075195
1708438473.8285692,1879048192,2058121216,1687846912,370274304,1494675456,0,24.5122,7.1374267578125,0.3698068618774414
1708438495.872047,1879048192,2058121216,1687011328,371109888,1537118208,0,21.8012,6.716963577270508,0.3224504470825195
1708438515.9485629,1744830464,2058121216,1688309760,369811456,1577447424,0,24.8295,6.899511337280273,0.36188793182373047
1708438540.7647212,1744830464,2058121216,1685680128,372441088,1622245376,0,24.5652,6.991864013671875,0.3740060806274414
1708438563.91305,1744830464,2058121216,1685688320,372432896,1653895168,0,22.9034,6.758970069885254,0.32581272125244143
1708438585.2774546,1610612736,2058121216,1687384064,370737152,1586524160,0,26.42675,6.781726598739624,0.3845975399017334
1708438607.9767542,1610612736,2058121216,1684348928,373772288,1609019392,0,28.115499999999997,6.63081955909729,0.4057903289794922
1708438629.043463,1610612736,2058121216,1684942848,373178368,1609678848,0,26.0905,7.17741584777832,0.39045190811157227
1708438649.2708442,1476395008,2058121216,1684512768,373608448,1452404736,0,25.039499999999997,7.184717178344727,0.37613630294799805
1708438671.8888984,1476395008,2058121216,1685258240,372862976,1475624960,0,28.03075,6.81692099571228,0.40541863441467285
1708438692.0203323,1476395008,2058121216,1684418560,373702656,1475899392,0,24.920749999999998,7.186074495315552,0.3688621520996094
1708438712.0699656,1342177280,2058121216,1684922368,373198848,1315852288,0,24.810499999999998,7.382846117019653,0.3782234191894531
1708438733.5673444,1342177280,2058121216,1678860288,379260928,1340334080,0,26.61325,7.384410858154297,0.4083132743835449
1708438764.2517252,1207959552,2058121216,1678946304,379174912,979066880,310042624,38.115500000000004,7.004363059997559,0.43241047859191895
1708438787.4431417,1207959552,2058121216,1682788352,375332864,1002115072,308207616,28.740499999999997,6.94746732711792,0.4382607936859131
1708438810.8042588,1207959552,2058121216,1683783680,374337536,1034424320,308207616,28.940749999999998,6.873459577560425,0.38747262954711914
1708438831.2858696,1073741824,2058121216,1685651456,372469760,1073700864,302440448,25.355749999999997,6.593765735626221,0.372295618057251
1708438853.2436423,1073741824,2058121216,1679523840,378597376,1069998080,301916160,27.19575,7.091102600097656,0.39128613471984863
1708438874.4326668,1073741824,2058121216,1684566016,373555200,1073160192,314236928,26.235,6.367174386978149,0.3676111698150635
1708438900.3640893,939524096,2058121216,1680392192,377729024,781856768,583917568,64.467,7.465912818908691,0.4503750801086426
1708438921.02149,939524096,2058121216,1678790656,379330560,800989184,583917568,25.57825,6.513612747192383,0.3806791305541992
1708438945.4048722,939524096,2058121216,1678848000,379273216,844386304,583393280,30.237,7.20956015586853,0.39755988121032715
