Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708945218.0494554,1879048192,2058121216,1069314048,988807168,921231360,1591128064,597.185,57.89899826049805,101.23346042633057,5.136455535888672
1708945272.8790202,1610612736,2058121216,1022136320,1035984896,1003450368,1537912832,272.395,3.377676010131836,59.20485305786133,2.4288740158081055
1708945306.9196296,1610612736,2058121216,996515840,1061605376,1060388864,1501212672,169.716,2.5472640991210938,47.13188648223877,1.6773319244384766
1708945332.0477586,1610612736,2058121216,971202560,1086918656,1107542016,1474211840,124.853,2.3047924041748047,38.31210422515869,1.3910770416259766
1708945353.19308,1610612736,2058121216,957894656,1100226560,1145184256,1451405312,105.365,2.4671554565429688,33.59080505371094,1.1380243301391602
1708945373.77985,1342177280,2058121216,938631168,1119490048,1183936512,1426501632,102.481,2.706766128540039,31.589262008666992,1.1733322143554688
1708945393.4670856,1342177280,2058121216,919924736,1138196480,1222234112,1405792256,98.002,2.466917037963867,30.492987632751465,1.0759954452514648
1708945415.951444,1342177280,2058121216,889167872,1168953344,1263697920,1382985728,111.887,2.885580062866211,32.73180389404297,1.1834115982055664
1708945437.6099126,1342177280,2058121216,860688384,1197432832,1307828224,1357033472,107.919,1.735687255859375,35.03136920928955,1.1638765335083008
1708945497.7699213,1073741824,2058121216,845606912,1212514304,1020358656,1504346112,24.3875,2.959012985229492,11.132846355438232,0.4454193115234375
1708945579.1934927,1073741824,2058121216,814309376,1243811840,924667904,1585532928,382.797,3.1785964965820312,60.58479404449463,2.4283790588378906
1708945595.9254014,1073741824,2058121216,792522752,1265598464,949350400,1566920704,82.448,2.9447078704833984,26.533759117126465,0.9206695556640625
1708945613.4284627,1073741824,2058121216,787648512,1270472704,986435584,1547259904,86.912,2.440214157104492,26.713398933410645,0.9115180969238281
1708945629.3349788,1073741824,2058121216,760283136,1297838080,1022562304,1530220544,79.242,3.4656524658203125,23.548297882080078,0.8393268585205078
1708945647.7645535,1342177280,2058121216,749813760,1308307456,1072533504,1514754048,91.479,0.5059242248535156,28.886821746826172,0.9680118560791016
1708945675.003085,1342177280,2058121216,695701504,1362419712,1128255488,1495355392,135.819,4.456043243408203,34.93188667297363,1.3719463348388672
1708945696.7949317,1342177280,2058121216,680046592,1378074624,1178230784,1478316032,108.349,0.5004405975341797,28.392001152038574,1.0633430480957031
1708945721.8826208,1342177280,2058121216,664223744,1393897472,1224126464,1468092416,124.804,2.9687881469726562,31.896145820617676,1.218541145324707
1708945744.3671315,1610612736,2058121216,632451072,1425670144,1287499776,1453936640,111.928,14.860153198242188,28.269161224365234,1.0083293914794922
1708945756.517985,1610612736,2058121216,639070208,1419051008,1320259584,1449742336,60.437,0.5750656127929688,16.74159526824951,0.6329917907714844
1708945790.561496,1610612736,2058121216,1636896768,421224448,1407053824,1417760768,169.663,1.0972023010253906,37.032325744628906,1.4370079040527344
1708945808.969213,1610612736,2058121216,1632288768,425832448,1442340864,1397313536,91.734,2.948284149169922,22.820860862731934,1.0226688385009766
1708945829.8431182,1879048192,2058121216,1632641024,425480192,1479602176,1381584896,51.8285,1.192331314086914,16.46791410446167,0.6367354393005371
1708945843.9062507,1879048192,2058121216,1627672576,430448640,1507438592,1369788416,69.924,4.070043563842773,22.484163284301758,0.7934112548828125
1708945858.5370417,1879048192,2058121216,1643089920,415031296,1534558208,1360875520,36.205,0.9980201721191406,10.199934959411621,0.44829320907592773
1708945875.8929694,1879048192,2058121216,1643003904,415117312,1574641664,1346195456,43.101,2.4766921997070312,9.808897972106934,0.5344810485839844
1708945892.8498435,1879048192,2058121216,1637429248,420691968,1589985280,1333874688,42.093,1.1832714080810547,10.519721031188965,0.48115110397338867
1708945906.3420053,1879048192,2058121216,1636433920,421687296,1616068608,1329156096,33.009,2.426624298095703,8.710080623626709,0.39014339447021484
1708945918.825303,2147483648,2058121216,1637486592,420634624,1616252928,1328631808,30.8945,2.659916877746582,7.0767822265625,0.37066650390625
1708945931.0096211,2147483648,2058121216,1640452096,417669120,1635438592,1328369664,30.1595,1.6957521438598633,6.658217430114746,0.3782773017883301
1708945943.070187,2147483648,2058121216,1637363712,420757504,1636241408,1328369664,29.863,0.924229621887207,6.540378093719482,0.33797597885131836
1708945958.8836641,2147483648,2058121216,1641979904,416141312,1639202816,1328107520,26.025000000000002,2.787907918294271,7.556324640909831,0.36487801869710285
1708945975.8264046,2147483648,2058121216,1640407040,417714176,1660391424,1327583232,27.88566666666667,1.5654563903808594,7.362541834513347,0.39763228098551434
1708945992.5430012,2147483648,2058121216,1637490688,420630528,1683431424,1327058944,27.612666666666666,2.0056565602620444,7.123404502868652,0.33490530649820965
