,time,memused,swapused,memproc,mem_vm,limit_cgroup,response_time
0,0.0,1886840.0,1135316.0,180379648.0,1813192.0,2147483648.0,1601.704
1,0.5,1887724.0,1135316.0,180379648.0,1813192.0,2147483648.0,1601.704
2,1.0,1888544.0,1135316.0,180379648.0,1813224.0,2147483648.0,1601.704
3,1.5,1888040.0,1135316.0,180379648.0,1813224.0,2147483648.0,1601.704
4,2.0,1888040.0,1135316.0,180379648.0,1813192.0,2147483648.0,1601.704
5,2.5,1888040.0,1135316.0,180641792.0,1813192.0,2147483648.0,1601.704
6,3.0,1888012.0,1135316.0,180637696.0,1818684.0,2147483648.0,1601.704
7,3.5,1888128.0,1135316.0,180637696.0,1818684.0,2147483648.0,1601.704
8,4.0,1888116.0,1135316.0,180510720.0,1823056.0,2147483648.0,1601.704
9,4.5,1888116.0,1135316.0,180510720.0,1823056.0,2147483648.0,1601.704
10,5.0,1888108.0,1135316.0,180510720.0,1827356.0,2147483648.0,1601.704
11,5.5,1888108.0,1135316.0,180510720.0,1827356.0,2147483648.0,1601.704
12,6.0,1888108.0,1135316.0,180502528.0,1831480.0,2147483648.0,1601.704
13,6.5,1888108.0,1135316.0,180502528.0,1831480.0,2147483648.0,1601.704
14,7.0,1888360.0,1135316.0,180633600.0,1834124.0,2147483648.0,1601.704
15,7.5,1888360.0,1135316.0,180633600.0,1834124.0,2147483648.0,1601.704
16,8.0,1888240.0,1135316.0,180633600.0,1834880.0,2147483648.0,1601.704
17,8.5,1888240.0,1135316.0,180633600.0,1834880.0,2147483648.0,1601.704
18,9.0,1888232.0,1135316.0,180633600.0,1836108.0,2147483648.0,1601.704
19,9.5,1888232.0,1135316.0,180633600.0,1836108.0,2147483648.0,1601.704
20,10.0,1888224.0,1135316.0,180559872.0,1836612.0,2147483648.0,1601.704
21,10.5,1888224.0,1135316.0,180559872.0,1836612.0,2147483648.0,1601.704
22,11.0,1888224.0,1135316.0,180559872.0,1837620.0,2147483648.0,1601.704
23,11.5,1888728.0,1134548.0,181301248.0,1837620.0,2147483648.0,1601.704
24,12.0,1889456.0,1133780.0,182980608.0,1839952.0,2147483648.0,1601.704
25,12.5,1890708.0,1133524.0,184438784.0,1839952.0,2147483648.0,1601.704
26,13.0,1891928.0,1133012.0,185626624.0,1841464.0,2147483648.0,1601.704
27,13.5,1892628.0,1132756.0,186740736.0,1841464.0,2147483648.0,1601.704
