Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708590584.8947227,2147483648,2058121216,1658449920,399671296,2069622784,505044992,25.993000000000002,6.653221130371094,0.3751497268676758
1708590606.2030344,2013265920,2058121216,1681440768,376680448,1963270144,505044992,26.393749999999997,7.120907306671143,0.3851659297943115
1708590628.1432564,2013265920,2058121216,1678049280,380071936,2004328448,502517760,27.1715,6.909337282180786,0.3441295623779297
1708590652.167922,1879048192,2058121216,1664831488,393289728,1797267456,495005696,29.77075,7.531646728515625,0.3851940631866455
1708590675.7738745,1879048192,2058121216,1667256320,390864896,1816866816,491601920,29.279249999999998,7.208209037780762,0.38270115852355957
1708590698.492594,1744830464,2058121216,1666600960,391520256,1681494016,485048320,28.115750000000002,7.340585708618164,0.37482261657714844
1708590719.2489243,1744830464,2058121216,1665277952,392843264,1706221568,481378304,25.697499999999998,7.044904947280884,0.35137414932250977
1708590743.3915994,1610612736,2058121216,1665978368,392142848,1610133504,475631616,29.89975,6.727597713470459,0.38605570793151855
1708590764.1342182,1610612736,2058121216,1655812096,402309120,1609920512,461475840,25.660749999999997,7.587909698486328,0.3682870864868164
1708590788.3196719,1476395008,2058121216,1662210048,395911168,1438711808,476016640,23.905,7.33685531616211,0.3631717681884766
1708590809.2561483,1476395008,2058121216,1664544768,393576448,1476038656,468676608,25.91575,6.8212268352508545,0.3781907558441162
1708590829.9853163,1342177280,2058121216,1662894080,395227136,1325096960,528117760,33.839333333333336,7.175878842671712,0.41989485422770184
1708590869.5770168,1207959552,2058121216,1666785280,391335936,1039650816,648318976,49.18825,9.079278945922852,0.4844217300415039
1708590894.3997133,1207959552,2058121216,1660977152,397144064,1075167232,640192512,30.471000000000004,8.543740272521973,0.36954212188720703
1708590916.3689027,1073741824,2058121216,1664905216,393216000,1073119232,636260352,27.20175,7.515490770339966,0.3592853546142578
1708590945.9737194,939524096,2058121216,1667284992,390836224,884899840,798511104,36.161,6.874763250350952,0.4410693645477295
1708590970.8602583,939524096,2058121216,1690259456,367861760,834859008,890798080,27.97975,7.565732479095459,0.34607410430908203
1708590994.8823214,1073741824,2058121216,1690353664,367767552,873193472,889749504,29.7645,7.239252328872681,0.3661632537841797
1708591017.7013674,1073741824,2058121216,1681231872,376889344,905768960,888700928,28.2245,7.258325815200806,0.392425537109375
1708591038.0824625,1207959552,2058121216,1687527424,370593792,936521728,884768768,25.21075,7.184241533279419,0.36812710762023926
1708591059.204815,1207959552,2058121216,1665564672,392556544,979070976,882671616,26.164500000000004,6.894879102706909,0.3451852798461914
1708591083.9925354,1342177280,2058121216,1669664768,388456448,1028255744,880312320,24.5546,7.256767845153808,0.3481761932373047
1708591104.671356,1342177280,2058121216,1677193216,380928000,1046265856,878739456,25.595,7.075029134750366,0.3786337375640869
1708591128.8108747,1476395008,2058121216,1668255744,389865472,1093705728,875069440,29.901,7.93720817565918,0.42622923851013184
1708591151.6924803,1476395008,2058121216,1664917504,393203712,1137639424,869564416,28.351999999999997,7.620236396789551,0.39902234077453613
1708591172.8640838,1610612736,2058121216,1665236992,392884224,1169313792,864321536,26.2185,7.757699251174927,0.36356616020202637
1708591194.711946,1744830464,2058121216,1664720896,393400320,1198723072,854097920,27.081249999999997,7.7079784870147705,0.3690202236175537
1708591219.1706913,1744830464,2058121216,1701576704,356544512,1243348992,842039296,30.3075,7.213185548782349,0.39890551567077637
1708591240.0955825,1879048192,2058121216,1664811008,393310208,1273729024,833126400,25.90675,7.340934991836548,0.3506813049316406
1708591261.5249915,1879048192,2058121216,1666121728,391999488,1307664384,825786368,26.54175,7.742764949798584,0.37833261489868164
1708591283.154455,2013265920,2058121216,1666809856,391311360,1347330048,821854208,26.788249999999998,7.485558748245239,0.358489990234375
1708591305.637742,2013265920,2058121216,1665499136,392622080,1373487104,819503104,27.83475,7.57569432258606,0.38136744499206543
1708591329.2098157,2147483648,2058121216,1671933952,386187264,1418895360,817930240,29.214000000000002,7.255756139755249,0.40380048751831055
1708591353.0110917,2147483648,2058121216,1675452416,382668800,1467551744,817147904,29.44775,7.065411329269409,0.3832547664642334
