Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708450420.1720865,2147483648,2058121216,1686814720,371306496,1078378496,35876864,26.153499999999998,7.514816125233968,0.3840761184692383
1708450453.2988164,2147483648,2058121216,1686978560,371142656,1116725248,35876864,27.36566666666667,7.190216700236003,0.38251272837320965
1708450483.7379665,2013265920,2058121216,1685233664,372887552,1178386432,35397632,25.121,7.2658694585164385,0.3613613446553548
1708450516.0739572,2013265920,2058121216,1683824640,374296576,1223045120,35397632,26.6955,6.840582529703776,0.37705564498901367
1708450548.3879848,2013265920,2058121216,1686597632,371523584,1277050880,35397632,26.679166666666664,7.30431588490804,0.39031553268432617
1708450581.746008,1879048192,2058121216,1688899584,369221632,1315028992,35291136,27.507166666666667,6.763535022735596,0.43039687474568683
1708450617.5704172,1879048192,2058121216,1683935232,374185984,1373257728,35082240,25.337714285714288,6.899779319763184,0.3881262370518276
1708450653.8846993,1879048192,2058121216,1683746816,374374400,1434169344,34697216,25.69257142857143,6.8851311547415595,0.391763550894601
1708450688.596774,1744830464,2058121216,1686548480,371572736,1481379840,34398208,24.55371428571429,7.0032952172415595,0.38527488708496094
1708450723.0359156,1744830464,2058121216,1680318464,377802752,1542029312,34074624,24.339428571428577,7.027945790972028,0.38075787680489676
1708450753.974136,1610612736,2058121216,1683939328,374181888,1593327616,33984512,25.529333333333337,7.255496819814046,0.3972606658935547
1708450784.311039,1610612736,2058121216,1683398656,374722560,1608044544,33890304,25.040833333333335,7.446269671122233,0.39333518346150714
1708450817.3096628,1610612736,2058121216,1681633280,376487936,1607299072,33267712,23.32042857142857,7.163702692304339,0.3576568875994001
1708450847.7872252,1476395008,2058121216,1681739776,376381440,1450745856,33005568,25.147166666666667,6.512073040008545,0.3859267234802246
1708450881.5181746,1476395008,2058121216,1680801792,377319424,1473937408,32395264,23.852142857142855,6.669018200465611,0.36822945731026785
1708450912.8295944,1476395008,2058121216,1682292736,375828480,1475194880,32247808,25.840666666666664,6.768731911977132,0.39940182367960614
1708450943.6429238,1342177280,2058121216,1681596416,376524800,1331437568,31985664,25.44033333333333,7.011967023213704,0.3993317286173503
1708450976.3260155,1342177280,2058121216,1679413248,378707968,1340649472,31985664,26.97666666666667,7.0739162762959795,0.4192522366841634
1708451010.6441915,1342177280,2058121216,1679556608,378564608,1340821504,31727616,28.359666666666666,6.911594708760579,0.4174033800760905
1708451042.7925956,1207959552,2058121216,1677230080,380891136,1200570368,123535360,26.548333333333336,7.0707213083903,0.4020293553670247
1708451074.6252482,1207959552,2058121216,1682644992,375476224,1207566336,126849024,26.272500000000004,6.699325402577718,0.41101566950480145
1708451104.834742,1207959552,2058121216,1677164544,380956672,1206239232,135094272,24.905666666666665,6.999032656351726,0.37693532307942706
1708451137.5013752,1073741824,2058121216,1676730368,381390848,1046548480,349622272,26.96133333333333,6.907453536987305,0.3672788937886556
1708451171.892868,1073741824,2058121216,1680150528,377970688,1072156672,355897344,28.408333333333335,6.848522186279297,0.4467191696166992
1708451206.163179,939524096,2058121216,1678114816,380006400,874369024,551878656,27.728833333333338,6.849923610687256,0.4132014910380046
1708451237.2131743,939524096,2058121216,1670807552,387313664,913842176,551247872,25.251333333333335,6.766496976216634,0.397638479868571
1708451269.2413375,939524096,2058121216,1676120064,382001152,938659840,550268928,26.4475,7.011256059010823,0.40632883707682294
1708451299.9460452,1073741824,2058121216,1672589312,385531904,938315776,561029120,25.320333333333334,7.229651769002278,0.38910659154256183
1708451330.8677998,1073741824,2058121216,1672368128,385753088,990228480,560504832,25.515,7.338693300882976,0.3985927899678548
1708451363.1819227,1073741824,2058121216,1676050432,382070784,1046081536,559980544,26.689833333333336,7.181938807169597,0.4247932434082031
1708451397.858232,1207959552,2058121216,1672560640,385560576,1089130496,559194112,24.531714285714287,7.097978046962193,0.39976896558489117
1708451428.5853372,1207959552,2058121216,1675083776,383037440,1141796864,558673920,25.35833333333333,6.959244569142659,0.4025119145711263
1708451460.3866408,1207959552,2058121216,1672761344,385359872,1187713024,558411776,26.25283333333333,6.6705695788065595,0.4149257342020671
1708451491.5248978,1342177280,2058121216,1673334784,384786432,1241956352,558149632,25.69066666666667,6.764592329661052,0.39568503697713214
1708451522.5464544,1342177280,2058121216,1676255232,381865984,1284624384,558149632,30.7348,5.956220436096191,0.4701671600341797
1708451555.532189,1342177280,2058121216,1671073792,387047424,1326600192,558149632,23.30542857142857,6.783820561000279,0.3562464032854353
1708451589.3873243,1476395008,2058121216,1673146368,384974848,1381388288,556838912,23.939285714285713,6.946341378348214,0.3752584457397461
1708451621.2193012,1476395008,2058121216,1671798784,386322432,1435279360,556597248,26.28066666666666,7.473766803741455,0.4290502866109212
1708451655.5231905,1476395008,2058121216,1670324224,387796992,1474621440,556597248,24.244857142857143,6.975097383771624,0.36776106698172434
1708451689.664505,1610612736,2058121216,1670496256,387624960,1526697984,556339200,28.170666666666666,7.492111841837565,0.44472503662109375
1708451720.642492,1610612736,2058121216,1675104256,383016960,1574477824,556081152,25.575833333333335,7.240147590637207,0.37116066614786786
1708451753.1728358,1744830464,2058121216,1673347072,384774144,1628954624,555581440,26.870000000000005,7.176193714141846,0.4008779525756836
1708451788.030525,1744830464,2058121216,1667829760,390291456,1662119936,555061248,24.653428571428574,7.263582638331822,0.37789521898542133
1708451818.3027442,1744830464,2058121216,1664942080,393179136,1711255552,555061248,24.988500000000002,7.27409013112386,0.37883663177490234
1708451850.0248508,1879048192,2058121216,1668734976,389386240,1749434368,554536960,26.19333333333333,7.381096522013347,0.3986676534016927
1708451882.8112504,1879048192,2058121216,1669120000,389001216,1818550272,554274816,27.07483333333333,7.705014069875081,0.4386208852132161
1708451916.9669626,1879048192,2058121216,1668247552,389873664,1859944448,553754624,24.151285714285713,7.458827563694546,0.3897002083914621
1708451950.7492704,2013265920,2058121216,1669144576,388976640,1897058304,553238528,27.905833333333334,7.271497090657552,0.4428512255350749
1708451983.573484,2013265920,2058121216,1665794048,392327168,1947066368,552980480,27.116333333333333,7.136314392089844,0.3902594248453776
1708452016.6845136,2147483648,2058121216,1666154496,391966720,1989783552,552718336,27.342666666666663,6.893652121225993,0.37757015228271484
1708452046.9490821,2147483648,2058121216,1666732032,391389184,2035822592,552460288,30.0094,7.220750427246093,0.4511594772338867
1708452084.2765737,2147483648,2058121216,1668886528,389234688,2083688448,551673856,30.814999999999998,7.326933066050212,0.4736374219258626
