Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708599643.1450236,2147483648,2058121216,1660809216,397312000,943808512,1205854208,33.8445,1.4573335647583008,7.411865711212158,0.503626823425293
1708599659.2173905,2147483648,2058121216,1660387328,397733888,962273280,1205334016,26.544999999999998,1.3806819915771484,7.828707059224446,0.4015785853068034
1708599676.599671,2147483648,2058121216,1679945728,378175488,1003003904,1205334016,28.720333333333333,2.6383399963378906,7.5575002034505205,0.440646489461263
1708599691.6285033,2147483648,2058121216,1662660608,395460608,1011818496,1205071872,24.770666666666667,1.8683274586995442,6.969758987426758,0.3455982208251953
1708599707.5332477,2147483648,2058121216,1663913984,394207232,1056354304,1204809728,26.260333333333335,1.9653638203938801,7.678401947021484,0.36446603139241535
1708599723.0860615,2147483648,2058121216,1675161600,382959616,1068056576,1204547584,25.643666666666665,1.4664332071940105,7.49349308013916,0.3624359766642253
1708599738.7688456,2147483648,2058121216,1663209472,394911744,1109499904,1204023296,25.887,0.9076595306396484,7.603631019592285,0.37999757130940753
1708599754.0317469,2013265920,2058121216,1695838208,362283008,1123094528,1204023296,25.194333333333333,0.9655157725016276,7.536073048909505,0.3457091649373372
1708599770.3030236,2013265920,2058121216,1669763072,388358144,1164083200,1203761152,26.876666666666665,1.1400381724039714,7.45084794362386,0.3829669952392578
1708599787.768627,2013265920,2058121216,1663361024,394760192,1172090880,1203499008,28.828666666666667,1.7647743225097656,7.001765251159668,0.42748228708902997
1708599800.5962775,2013265920,2058121216,1663721472,394399744,1189953536,1202208768,31.766000000000002,0.9839534759521484,7.451318264007568,0.5017743110656738
1708599818.043474,2013265920,2058121216,1692971008,365150208,1186729984,1201442816,28.799333333333333,1.3309319814046223,7.300188382466634,0.42548243204752606
1708599833.6023874,2013265920,2058121216,1664430080,393691136,1203392512,1201442816,25.676,1.4798641204833984,7.656460444132487,0.3548930486043294
1708599846.110035,2013265920,2058121216,1662955520,395165696,1201618944,1200656384,30.997,1.3725757598876953,7.769523620605469,0.4447021484375
1708599863.1122658,2013265920,2058121216,1662197760,395923456,1227603968,1197510656,28.089000000000002,2.9550393422444663,7.930299123128255,0.40375423431396484
1708599879.43602,1879048192,2058121216,1680330752,377790464,1221263360,1196724224,26.950999999999997,1.3704299926757812,7.950167655944824,0.41490650177001953
1708599897.2971346,1879048192,2058121216,1665642496,392478720,1250738176,1196462080,29.475000000000005,2.1708011627197266,7.7329661051432295,0.47436682383219403
1708599913.5385218,1879048192,2058121216,1688915968,369205248,1264615424,1195937792,26.77,2.3993651072184243,7.544604937235515,0.4196011225382487
1708599930.4039085,1879048192,2058121216,1662554112,395567104,1307226112,1195417600,27.81566666666667,1.7920335133870442,8.198555946350098,0.4476162592569987
1708599948.4270024,1879048192,2058121216,1671225344,386895872,1322586112,1195417600,29.764333333333337,3.6281744639078775,7.738975207010905,0.47576904296875
1708599964.618849,1879048192,2058121216,1655193600,402927616,1367367680,1194369024,26.742333333333335,1.2714862823486328,8.212224006652832,0.4075927734375
1708599979.6582434,1879048192,2058121216,1658892288,399228928,1377959936,1194106880,24.816000000000003,1.039743423461914,7.65400759379069,0.3764619827270508
1708599995.6905584,1744830464,2058121216,1687764992,370356224,1415569408,1193844736,26.48166666666667,1.4420350392659504,8.179266293843588,0.41502126057942706
