Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708359242.9417722,1073741824,2059157504,1700900864,358256640,1046917120,422653952,709.997,5.958691914876302,0.3707081476847331
1708359300.6944942,805306368,2059157504,1700487168,358670336,773074944,751259648,717.8375,5.841810941696167,0.3502511978149414
1708359346.2975268,805306368,2059157504,1699409920,359747584,586485760,887648256,617.3003333333332,8.684369723002115,0.662390391031901
1708359390.15713,805306368,2059157504,1700667392,358490112,592789504,886599680,727.6719999999999,6.369727770487468,0.40471967061360675
1708359438.5429993,536870912,2059157504,1700458496,358699008,497115136,918130688,480.1002,6.72087345123291,0.39414615631103517
1708359480.9972074,536870912,2059157504,1694486528,364670976,517201920,933191680,526.3877500000001,8.568592548370361,0.5060207843780518
1708359523.6804087,536870912,2059157504,1691742208,367415296,531603456,932450304,423.558,9.673220825195312,0.4745372772216797
1708359570.7986484,492830720,2059157504,1699647488,359510016,468393984,980733952,467.8038,8.955051803588868,0.4372058868408203
1708359612.8614805,492830720,2059157504,1697304576,361852928,487866368,980639744,521.6957500000001,6.402460813522339,0.3832988739013672
1708359660.738016,1073741824,2059157504,1695944704,363212800,495439872,980680704,595.3874999999999,7.93297004699707,0.4917314052581787
1708359712.7183378,1073741824,2059157504,1695023104,364134400,508162048,980226048,646.45775,8.482421636581421,0.44516658782958984
1708359754.8580148,805306368,2059157504,1693794304,365363200,529035264,980434944,418.2794,6.653886032104492,0.4072580337524414
1708359806.1041791,805306368,2059157504,1698480128,360677376,544927744,980267008,509.1504,7.873630523681641,0.42232933044433596
1708359853.2568243,536870912,2059157504,1694519296,364638208,536727552,980426752,781.3253333333332,6.11586062113444,0.3741264343261719
1708359900.328417,536870912,2059157504,1705897984,353259520,534208512,980426752,782.1030000000001,5.985450108846028,0.35903040568033856
