,time,memused,swapused,memproc,mem_vm,limit_cgroup,response_time
0,0.0,1732340.0,1123688.0,336900096.0,1827432.0,2147483648.0,330.699
1,0.5,1733008.0,1123688.0,336801792.0,1827432.0,2147483648.0,330.699
2,1.0,1733008.0,1123688.0,336932864.0,1827432.0,2147483648.0,330.699
3,1.5,1733004.0,1123688.0,336920576.0,1827432.0,2147483648.0,330.699
4,2.0,1733004.0,1123688.0,337031168.0,1827432.0,2147483648.0,330.699
5,2.5,1733004.0,1123688.0,337027072.0,1827432.0,2147483648.0,330.699
6,3.0,1733004.0,1123688.0,337006592.0,1827432.0,2147483648.0,330.699
7,3.5,1733256.0,1123688.0,336994304.0,1827432.0,2147483648.0,330.699
8,4.0,1733256.0,1123688.0,337084416.0,1827432.0,2147483648.0,330.699
9,4.5,1733256.0,1123688.0,337068032.0,1827432.0,2147483648.0,330.699
10,5.0,1733256.0,1123688.0,337063936.0,1827400.0,2147483648.0,330.699
11,5.5,1732736.0,1123688.0,337051648.0,1827400.0,2147483648.0,330.699
12,6.0,1732736.0,1123688.0,337043456.0,1827400.0,2147483648.0,330.699
13,6.5,1732360.0,1123688.0,337022976.0,1827400.0,2147483648.0,330.699
14,7.0,1732360.0,1123688.0,337006592.0,1827400.0,2147483648.0,330.699
15,7.5,1732612.0,1123688.0,337006592.0,1827400.0,2147483648.0,330.699
16,8.0,1732612.0,1123688.0,337002496.0,1827400.0,2147483648.0,330.699
17,8.5,1732612.0,1123688.0,336998400.0,1827400.0,2147483648.0,330.699
18,9.0,1732612.0,1123688.0,336994304.0,1827400.0,2147483648.0,330.699
19,9.5,1732612.0,1123688.0,336982016.0,1827400.0,2147483648.0,330.699
20,10.0,1732612.0,1123688.0,336973824.0,1827400.0,2147483648.0,330.699
21,10.5,1732496.0,1123688.0,336969728.0,1827400.0,2147483648.0,330.699
22,11.0,1732496.0,1123688.0,336961536.0,1827432.0,2147483648.0,330.699
23,11.5,1732496.0,1123688.0,337076224.0,1827432.0,2147483648.0,330.699
24,12.0,1732496.0,1123688.0,337063936.0,1827432.0,2147483648.0,330.699
25,12.5,1732496.0,1123688.0,337051648.0,1827432.0,2147483648.0,330.699
26,13.0,1732496.0,1123688.0,337051648.0,1827432.0,2147483648.0,330.699
27,13.5,1732496.0,1123688.0,337035264.0,1827432.0,2147483648.0,330.699
28,14.0,1732496.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
29,14.5,1732324.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
30,15.0,1732324.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
31,15.5,1732316.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
32,16.0,1732316.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
33,16.5,1732316.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
34,17.0,1732316.0,1123688.0,337035264.0,1827400.0,2147483648.0,330.699
35,17.5,1732316.0,1123688.0,337031168.0,1827400.0,2147483648.0,330.699
36,18.0,1732316.0,1123688.0,337031168.0,1827400.0,2147483648.0,330.699
37,18.5,1732316.0,1123688.0,337022976.0,1827400.0,2147483648.0,330.699
38,19.0,1732316.0,1123688.0,337006592.0,1827400.0,2147483648.0,330.699
39,19.5,1732316.0,1123688.0,336994304.0,1827400.0,2147483648.0,330.699
40,20.0,1732316.0,1123688.0,336982016.0,1827400.0,2147483648.0,330.699
41,20.5,1732308.0,1123688.0,336961536.0,1827400.0,2147483648.0,330.699
42,21.0,1732308.0,1123688.0,336961536.0,1827368.0,2147483648.0,330.699
43,21.5,1732308.0,1123688.0,336924672.0,1827368.0,2147483648.0,330.699
44,22.0,1732560.0,1123688.0,337006592.0,1827368.0,2147483648.0,330.699
45,22.5,1732560.0,1123688.0,336998400.0,1827368.0,2147483648.0,330.699
46,23.0,1732560.0,1123688.0,336994304.0,1827368.0,2147483648.0,330.699
47,23.5,1732560.0,1123688.0,336994304.0,1827368.0,2147483648.0,330.699
48,24.0,1732560.0,1123688.0,337125376.0,1827368.0,2147483648.0,330.699
49,24.5,1732560.0,1123688.0,337121280.0,1827368.0,2147483648.0,330.699
50,25.0,1732560.0,1123688.0,337117184.0,1827432.0,2147483648.0,330.699
51,25.5,1732552.0,1123688.0,337092608.0,1827432.0,2147483648.0,330.699
52,26.0,1732552.0,1123688.0,337190912.0,1827432.0,2147483648.0,330.699
53,26.5,1732552.0,1123688.0,337162240.0,1827432.0,2147483648.0,330.699
54,27.0,1732552.0,1123688.0,337162240.0,1827432.0,2147483648.0,330.699
55,27.5,1732552.0,1123688.0,337162240.0,1827432.0,2147483648.0,330.699
56,28.0,1732552.0,1123688.0,337141760.0,1827432.0,2147483648.0,330.699
57,28.5,1732552.0,1123688.0,337113088.0,1827432.0,2147483648.0,330.699
58,29.0,1732552.0,1123688.0,337113088.0,1834756.0,2147483648.0,330.699
59,29.5,1732552.0,1123688.0,337076224.0,1834756.0,2147483648.0,330.699
60,30.0,1745276.0,1123688.0,343158784.0,1835304.0,2147483648.0,330.699
61,30.5,1749580.0,1123688.0,343695360.0,1835304.0,2147483648.0,330.699
62,31.0,1749216.0,1123688.0,343703552.0,1835008.0,2147483648.0,330.699
63,31.5,1752912.0,1123688.0,343691264.0,1835008.0,2147483648.0,330.699
64,32.0,1753244.0,1123688.0,343683072.0,1834772.0,2147483648.0,330.699
65,32.5,1754656.0,1123688.0,343683072.0,1834772.0,2147483648.0,330.699
66,33.0,1753064.0,1123688.0,343937024.0,1835100.0,2147483648.0,330.699
67,33.5,1752692.0,1123688.0,344195072.0,1835100.0,2147483648.0,330.699
68,34.0,1754680.0,1123688.0,344195072.0,1835368.0,2147483648.0,330.699
69,34.5,1757476.0,1123688.0,344195072.0,1835368.0,2147483648.0,330.699
70,35.0,1756000.0,1123688.0,344358912.0,1834416.0,2147483648.0,330.699
71,35.5,1755396.0,1123432.0,344358912.0,1834416.0,2147483648.0,330.699
